order_line,order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales,quantity,discount,profit
79,US-2014-147606,11/26/2014,12/1/2014,Second Class,JE-15745,FUR-FU-10003194,19.3,5,0.6,-14.475
82,CA-2014-139451,10/12/2014,10/16/2014,Standard Class,DN-13690,OFF-AR-10002053,14.9,5,0,4.172
83,CA-2014-139451,10/12/2014,10/16/2014,Standard Class,DN-13690,OFF-ST-10002370,21.39,1,0,6.2031
84,CA-2015-149734,9/3/2015,9/8/2015,Standard Class,JC-16105,OFF-EN-10000927,200.984,7,0.2,62.8075
93,CA-2015-149587,1/31/2015,2/5/2015,Second Class,KB-16315,OFF-PA-10003177,12.96,2,0,6.2208
94,CA-2015-149587,1/31/2015,2/5/2015,Second Class,KB-16315,FUR-FU-10003799,53.34,3,0,16.5354
95,CA-2015-149587,1/31/2015,2/5/2015,Second Class,KB-16315,OFF-BI-10002852,32.96,2,0,16.1504
104,US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,TEC-AC-10001552,238.896,6,0.2,-26.8758
105,US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,FUR-FU-10004006,102.36,3,0.2,-3.8385
106,US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,OFF-BI-10002794,36.882,3,0.7,-25.8174
110,CA-2015-129476,10/15/2015,10/20/2015,Standard Class,PA-19060,TEC-AC-10000844,339.96,5,0.2,67.992
114,CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,OFF-FA-10000621,40.096,14,0.2,14.5348
115,CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,OFF-EN-10002600,4.72,2,0.2,1.652
116,CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,OFF-PA-10004965,23.976,3,0.2,7.4925
117,CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,OFF-EN-10002504,130.464,6,0.2,44.0316
118,CA-2015-110457,3/2/2015,3/6/2015,Standard Class,DK-13090,FUR-TA-10001768,787.53,3,0,165.3813
119,US-2015-136476,4/5/2015,4/10/2015,Standard Class,GG-14650,OFF-BI-10003650,157.794,1,0.7,-115.7156
125,US-2014-152030,12/26/2014,12/28/2014,Second Class,AD-10180,FUR-CH-10004063,600.558,3,0.3,-8.5794
126,US-2014-134614,9/20/2014,9/25/2014,Standard Class,PF-19165,FUR-TA-10004534,617.7,6,0.5,-407.682
146,CA-2015-110744,9/7/2015,9/12/2015,Standard Class,HA-14920,OFF-ST-10003656,671.93,7,0,20.1579
147,CA-2014-110072,10/22/2014,10/28/2014,Standard Class,MG-17680,FUR-FU-10000521,93.888,4,0.2,12.9096
154,CA-2015-124919,5/31/2015,6/2/2015,First Class,SP-20650,OFF-PA-10001950,58.38,7,0,26.271
155,CA-2015-124919,5/31/2015,6/2/2015,First Class,SP-20650,OFF-PA-10002254,105.52,4,0,48.5392
156,CA-2015-124919,5/31/2015,6/2/2015,First Class,SP-20650,OFF-ST-10001590,80.88,6,0,21.0288
157,CA-2015-118948,5/28/2015,6/3/2015,Standard Class,NK-18490,OFF-AR-10001547,6.63,3,0,1.7901
158,CA-2014-104269,3/1/2014,3/6/2014,Second Class,DB-13060,FUR-CH-10004063,457.568,2,0.2,51.4764
162,CA-2015-119697,12/28/2015,12/31/2015,Second Class,EM-13960,TEC-AC-10003657,54.384,2,0.2,1.3596
165,CA-2014-139892,9/8/2014,9/12/2014,Standard Class,BM-11140,OFF-AR-10004441,9.936,3,0.2,2.7324
166,CA-2014-139892,9/8/2014,9/12/2014,Standard Class,BM-11140,TEC-MA-10000822,8159.952,8,0.4,-1359.992
167,CA-2014-139892,9/8/2014,9/12/2014,Standard Class,BM-11140,OFF-ST-10000991,275.928,3,0.2,-58.6347
168,CA-2014-139892,9/8/2014,9/12/2014,Standard Class,BM-11140,FUR-CH-10004287,1740.06,9,0.3,-24.858
169,CA-2014-139892,9/8/2014,9/12/2014,Standard Class,BM-11140,OFF-AR-10002656,32.064,6,0.2,6.8136
170,CA-2014-139892,9/8/2014,9/12/2014,Standard Class,BM-11140,OFF-AP-10002518,177.98,5,0.8,-453.849
171,CA-2014-139892,9/8/2014,9/12/2014,Standard Class,BM-11140,TEC-PH-10003931,143.976,3,0.2,8.9985
172,CA-2014-118962,8/5/2014,8/9/2014,Standard Class,CS-12130,OFF-PA-10000659,20.94,3,0,9.8418
173,CA-2014-118962,8/5/2014,8/9/2014,Standard Class,CS-12130,OFF-PA-10001144,110.96,2,0,53.2608
174,CA-2014-118962,8/5/2014,8/9/2014,Standard Class,CS-12130,FUR-CH-10003817,340.144,7,0.2,21.259
175,US-2014-100853,9/14/2014,9/19/2014,Standard Class,JB-15400,OFF-AP-10000891,52.448,2,0.8,-131.12
176,US-2014-100853,9/14/2014,9/19/2014,Standard Class,JB-15400,OFF-LA-10003148,20.16,4,0.2,6.552
178,US-2015-101511,11/21/2015,11/23/2015,Second Class,JE-15745,FUR-CH-10004698,396.802,7,0.3,-11.3372
179,US-2015-101511,11/21/2015,11/23/2015,Second Class,JE-15745,OFF-SU-10002189,15.88,5,0.2,-3.7715
180,CA-2015-137225,12/15/2015,12/19/2015,Standard Class,JK-15640,OFF-AR-10001940,3.28,1,0,1.4104
181,CA-2014-166191,12/5/2014,12/9/2014,Second Class,DK-13150,OFF-ST-10003455,24.816,2,0.2,1.8612
182,CA-2014-166191,12/5/2014,12/9/2014,Second Class,DK-13150,TEC-AC-10004659,408.744,7,0.2,76.6395
183,CA-2014-158274,11/19/2014,11/24/2014,Second Class,RM-19675,TEC-PH-10003273,503.96,4,0,131.0296
184,CA-2014-158274,11/19/2014,11/24/2014,Second Class,RM-19675,TEC-PH-10004896,149.95,5,0,41.986
185,CA-2014-158274,11/19/2014,11/24/2014,Second Class,RM-19675,TEC-AC-10002345,29,2,0,7.25
187,CA-2014-123260,8/26/2014,8/30/2014,Standard Class,FM-14290,TEC-AC-10002323,176.8,8,0,22.984
190,CA-2015-102281,10/12/2015,10/14/2015,First Class,MP-17470,FUR-BO-10002613,899.136,4,0.2,112.392
191,CA-2015-102281,10/12/2015,10/14/2015,First Class,MP-17470,TEC-PH-10001552,71.76,6,0,20.0928
192,CA-2015-102281,10/12/2015,10/14/2015,First Class,MP-17470,OFF-PA-10000061,51.84,8,0,24.8832
193,CA-2015-102281,10/12/2015,10/14/2015,First Class,MP-17470,FUR-BO-10002545,626.352,3,0.2,46.9764
194,CA-2015-102281,10/12/2015,10/14/2015,First Class,MP-17470,OFF-AR-10003514,19.9,5,0,6.567
195,CA-2015-131457,10/31/2015,11/6/2015,Standard Class,MZ-17515,OFF-EN-10001509,14.28,7,0,6.7116
196,CA-2014-140004,3/21/2014,3/25/2014,Standard Class,CB-12025,OFF-AR-10004685,7.408,2,0.2,1.2038
197,CA-2014-140004,3/21/2014,3/25/2014,Standard Class,CB-12025,OFF-AR-10004027,6.048,3,0.2,1.5876
202,CA-2014-133690,8/3/2014,8/5/2014,First Class,BS-11755,FUR-TA-10004289,218.75,2,0.5,-161.875
203,CA-2014-133690,8/3/2014,8/5/2014,First Class,BS-11755,OFF-AP-10003622,2.6,1,0.2,0.2925
212,CA-2015-101007,2/9/2015,2/13/2015,Second Class,MS-17980,TEC-AC-10001266,20.8,2,0.2,6.5
213,CA-2015-146262,1/2/2015,1/9/2015,Standard Class,VW-21775,OFF-LA-10004544,23.68,2,0.2,8.88
214,CA-2015-146262,1/2/2015,1/9/2015,Standard Class,VW-21775,FUR-BO-10004695,452.45,5,0.5,-244.323
215,CA-2015-146262,1/2/2015,1/9/2015,Standard Class,VW-21775,TEC-PH-10002844,62.982,3,0.4,-14.6958
216,CA-2015-146262,1/2/2015,1/9/2015,Standard Class,VW-21775,TEC-MA-10000864,1188,9,0.7,-950.4
217,CA-2015-146262,1/2/2015,1/9/2015,Standard Class,VW-21775,TEC-AC-10000109,89.584,2,0.2,4.4792
220,CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925,OFF-FA-10000585,5.584,2,0.2,1.8148
221,CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925,OFF-PA-10004000,22.704,6,0.2,8.2302
222,CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925,OFF-BI-10002852,19.776,4,0.7,-13.8432
223,CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925,FUR-FU-10000087,72.704,4,0.2,19.0848
224,CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925,TEC-MA-10001148,479.988,4,0.7,-383.9904
225,CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925,OFF-AR-10001958,27.168,2,0.2,2.7168
226,CA-2015-163055,8/9/2015,8/16/2015,Standard Class,DS-13180,OFF-AR-10001026,2.2,1,0,0.968
227,CA-2015-163055,8/9/2015,8/16/2015,Standard Class,DS-13180,FUR-TA-10003748,622.45,5,0,136.939
228,CA-2015-163055,8/9/2015,8/16/2015,Standard Class,DS-13180,OFF-ST-10002485,21.98,1,0,0.2198
229,US-2015-145436,2/28/2015,3/4/2015,Standard Class,VD-21670,FUR-CH-10004860,161.568,2,0.2,-28.2744
230,US-2015-145436,2/28/2015,3/4/2015,Standard Class,VD-21670,FUR-CH-10004477,389.696,8,0.2,43.8408
231,US-2014-156216,9/13/2014,9/17/2014,Standard Class,EA-14035,OFF-BI-10001679,18.648,7,0.7,-12.432
245,CA-2014-131926,6/1/2014,6/6/2014,Second Class,DW-13480,FUR-CH-10004063,2001.86,7,0,580.5394
246,CA-2014-131926,6/1/2014,6/6/2014,Second Class,DW-13480,OFF-ST-10002276,166.72,2,0,41.68
247,CA-2014-131926,6/1/2014,6/6/2014,Second Class,DW-13480,OFF-PA-10004082,47.88,6,0,23.94
248,CA-2014-131926,6/1/2014,6/6/2014,Second Class,DW-13480,OFF-AP-10002945,1503.25,5,0,496.0725
249,CA-2014-131926,6/1/2014,6/6/2014,Second Class,DW-13480,OFF-PA-10000061,25.92,4,0,12.4416
255,US-2015-159982,11/28/2015,12/4/2015,Standard Class,DR-12880,FUR-FU-10002505,12.132,9,0.6,-8.4924
256,US-2015-159982,11/28/2015,12/4/2015,Standard Class,DR-12880,OFF-ST-10004804,82.368,2,0.2,-19.5624
257,US-2015-159982,11/28/2015,12/4/2015,Standard Class,DR-12880,OFF-ST-10001590,53.92,5,0.2,4.044
258,US-2015-159982,11/28/2015,12/4/2015,Standard Class,DR-12880,TEC-PH-10001580,647.904,6,0.2,56.6916
263,US-2014-106992,9/19/2014,9/21/2014,Second Class,SB-20290,TEC-MA-10000822,3059.982,3,0.4,-509.997
264,US-2014-106992,9/19/2014,9/21/2014,Second Class,SB-20290,TEC-MA-10003353,2519.958,7,0.4,-251.9958
266,CA-2015-155040,11/10/2015,11/15/2015,Standard Class,AH-10210,TEC-AC-10004469,79.9,2,0,35.156
272,CA-2015-155334,7/30/2015,7/31/2015,First Class,HA-14920,TEC-AC-10003628,209.93,7,0,92.3692
273,CA-2015-155334,7/30/2015,7/31/2015,First Class,HA-14920,FUR-FU-10003274,5.28,3,0,2.3232
274,CA-2015-155334,7/30/2015,7/31/2015,First Class,HA-14920,OFF-BI-10002557,10.92,3,0.2,4.095
281,US-2015-161991,9/26/2015,9/28/2015,Second Class,SC-20725,OFF-BI-10004967,2.08,5,0.8,-3.432
282,US-2015-161991,9/26/2015,9/28/2015,Second Class,SC-20725,TEC-PH-10001760,1114.4,7,0.2,376.11
283,CA-2015-130890,11/2/2015,11/6/2015,Standard Class,JO-15280,FUR-TA-10002903,1038.84,5,0.2,51.942
284,CA-2015-130883,9/26/2015,10/2/2015,Standard Class,TB-21520,OFF-PA-10000474,141.76,5,0.2,47.844
285,CA-2015-130883,9/26/2015,10/2/2015,Standard Class,TB-21520,TEC-AC-10001956,239.8,5,0.2,47.96
286,CA-2015-130883,9/26/2015,10/2/2015,Standard Class,TB-21520,OFF-PA-10004100,31.104,6,0.2,10.8864
294,CA-2014-111451,12/26/2014,12/28/2014,First Class,KL-16555,FUR-FU-10004091,300.416,8,0.2,78.8592
295,CA-2014-111451,12/26/2014,12/28/2014,First Class,KL-16555,FUR-CH-10001891,230.352,3,0.2,20.1558
296,CA-2014-111451,12/26/2014,12/28/2014,First Class,KL-16555,FUR-FU-10002918,218.352,3,0.2,-24.5646
297,CA-2014-111451,12/26/2014,12/28/2014,First Class,KL-16555,OFF-BI-10004593,78.6,5,0.7,-62.88
298,CA-2014-111451,12/26/2014,12/28/2014,First Class,KL-16555,OFF-FA-10004854,27.552,3,0.2,9.2988
305,CA-2015-144253,5/4/2015,5/9/2015,Second Class,AS-10225,FUR-FU-10002671,26.8,2,0,12.864
306,CA-2014-130960,12/30/2014,1/4/2015,Standard Class,KB-16600,OFF-AR-10003651,9.84,3,0,2.8536
307,CA-2014-111003,6/1/2014,6/6/2014,Standard Class,CR-12625,OFF-BI-10001072,45.48,3,0,20.9208
308,CA-2014-111003,6/1/2014,6/6/2014,Standard Class,CR-12625,OFF-AR-10002135,289.2,6,0,83.868
314,CA-2014-120887,9/27/2014,10/3/2014,Standard Class,TS-21205,FUR-FU-10001588,87.54,3,0,37.6422
315,CA-2014-167850,8/9/2014,8/16/2014,Standard Class,AG-10525,TEC-PH-10002398,178.384,2,0.2,22.298
316,CA-2014-167850,8/9/2014,8/16/2014,Standard Class,AG-10525,OFF-PA-10001937,15.552,3,0.2,5.4432
317,CA-2014-164259,12/28/2014,12/30/2014,First Class,SP-20860,OFF-AR-10003373,99.136,4,0.2,8.6744
318,CA-2014-164973,11/4/2014,11/9/2014,Standard Class,NM-18445,FUR-CH-10002602,135.882,1,0.1,24.1568
319,CA-2014-164973,11/4/2014,11/9/2014,Standard Class,NM-18445,TEC-MA-10002927,3991.98,2,0,1995.99
320,CA-2014-164973,11/4/2014,11/9/2014,Standard Class,NM-18445,TEC-PH-10004093,275.94,6,0,80.0226
321,CA-2014-164973,11/4/2014,11/9/2014,Standard Class,NM-18445,TEC-AC-10000892,360,4,0,129.6
322,CA-2014-164973,11/4/2014,11/9/2014,Standard Class,NM-18445,OFF-ST-10002974,43.57,1,0,13.071
323,CA-2014-156601,9/19/2014,9/24/2014,Standard Class,FA-14230,OFF-FA-10000624,7.16,2,0,3.58
335,CA-2015-137946,9/1/2015,9/4/2015,Second Class,DB-13615,OFF-BI-10001922,4.752,1,0.2,1.6038
336,CA-2015-137946,9/1/2015,9/4/2015,Second Class,DB-13615,TEC-CO-10001449,959.984,2,0.2,335.9944
337,CA-2015-137946,9/1/2015,9/4/2015,Second Class,DB-13615,OFF-BI-10004140,14.368,4,0.2,4.49
338,CA-2014-129924,7/12/2014,7/17/2014,Standard Class,AC-10420,OFF-BI-10003314,7.712,2,0.2,2.7956
339,CA-2014-129924,7/12/2014,7/17/2014,Standard Class,AC-10420,FUR-TA-10004575,698.352,3,0.2,-17.4588
340,CA-2015-128167,6/22/2015,6/26/2015,Second Class,KL-16645,OFF-FA-10000490,4.96,4,0,2.3312
341,CA-2014-122336,4/13/2014,4/17/2014,Second Class,JD-15895,OFF-AR-10000122,17.856,4,0.2,1.116
342,CA-2014-122336,4/13/2014,4/17/2014,Second Class,JD-15895,OFF-BI-10003656,509.97,10,0.7,-407.976
343,CA-2014-122336,4/13/2014,4/17/2014,Second Class,JD-15895,OFF-FA-10002780,30.992,13,0.2,10.0724
344,CA-2014-122336,4/13/2014,4/17/2014,Second Class,JD-15895,TEC-PH-10000702,71.928,12,0.4,8.3916
345,US-2015-120712,12/20/2015,12/24/2015,Standard Class,CS-12130,OFF-ST-10000107,88.8,4,0.2,-2.22
366,CA-2014-123344,9/24/2014,9/29/2014,Standard Class,JD-16060,OFF-ST-10001713,211.96,4,0,8.4784
373,US-2014-119137,7/23/2014,7/27/2014,Standard Class,AG-10900,OFF-BI-10001982,8.16,5,0.7,-5.712
374,US-2014-119137,7/23/2014,7/27/2014,Standard Class,AG-10900,TEC-AC-10003911,1023.936,8,0.2,179.1888
375,US-2014-119137,7/23/2014,7/27/2014,Standard Class,AG-10900,OFF-AR-10000658,9.24,1,0.2,0.924
376,US-2014-119137,7/23/2014,7/27/2014,Standard Class,AG-10900,TEC-AC-10002076,479.04,10,0.2,-29.94
379,CA-2015-130792,4/28/2015,5/5/2015,Standard Class,RA-19915,OFF-AP-10000696,8.652,3,0.8,-20.3322
380,CA-2015-130792,4/28/2015,5/5/2015,Standard Class,RA-19915,OFF-ST-10003327,23.832,3,0.2,2.6811
381,CA-2015-130792,4/28/2015,5/5/2015,Standard Class,RA-19915,OFF-BI-10000309,12.176,4,0.8,-18.8728
384,CA-2015-125395,6/26/2015,6/29/2015,Second Class,LA-16780,TEC-AC-10004708,41.9,2,0,8.799
385,US-2015-168935,11/27/2015,12/2/2015,Standard Class,DO-13435,FUR-TA-10000617,375.4575,3,0.45,-157.0095
386,US-2015-168935,11/27/2015,12/2/2015,Standard Class,DO-13435,TEC-AC-10002335,83.976,3,0.2,-1.0497
387,CA-2015-122756,12/3/2015,12/7/2015,Standard Class,DK-13225,TEC-MA-10001681,482.34,4,0.7,-337.638
388,CA-2015-122756,12/3/2015,12/7/2015,Standard Class,DK-13225,FUR-FU-10001935,2.96,1,0.2,0.777
389,CA-2014-115973,11/24/2014,11/26/2014,First Class,NG-18430,OFF-AR-10004757,2.624,1,0.2,0.4264
392,US-2014-135972,9/21/2014,9/23/2014,Second Class,JG-15115,TEC-PH-10003012,246.384,2,0.2,27.7182
393,US-2014-135972,9/21/2014,9/23/2014,Second Class,JG-15115,TEC-CO-10002313,1799.97,3,0,701.9883
394,US-2014-134971,6/7/2014,6/10/2014,Second Class,BP-11095,OFF-BI-10003982,12.462,3,0.8,-20.5623
398,CA-2015-122259,10/31/2015,11/4/2015,Standard Class,HP-14815,OFF-SU-10002573,70.12,4,0,21.036
403,CA-2014-113166,12/24/2014,12/26/2014,First Class,LF-17185,OFF-PA-10001947,9.568,2,0.2,3.4684
404,CA-2014-155208,4/16/2014,4/20/2014,Standard Class,SP-20650,OFF-AR-10003478,39.072,6,0.2,9.768
422,CA-2014-142048,6/22/2014,6/25/2014,First Class,JE-15745,TEC-AC-10004114,196.752,6,0.2,56.5662
428,CA-2014-101476,9/12/2014,9/13/2014,First Class,SD-20485,TEC-MA-10000029,69.99,1,0,30.0957
435,US-2014-150574,12/19/2014,12/25/2014,Standard Class,MK-18160,OFF-BI-10000773,4.812,2,0.7,-3.6892
436,US-2014-150574,12/19/2014,12/25/2014,Standard Class,MK-18160,TEC-AC-10002600,247.8,5,0.2,-18.585
457,US-2014-110674,2/12/2014,2/18/2014,Standard Class,SC-20095,FUR-CH-10000225,129.568,2,0.2,-24.294
460,CA-2015-109638,12/15/2015,12/22/2015,Standard Class,JH-15985,OFF-AP-10002472,103.92,4,0,36.372
461,CA-2015-109638,12/15/2015,12/22/2015,Standard Class,JH-15985,TEC-AC-10004571,899.91,9,0,377.9622
462,CA-2015-109638,12/15/2015,12/22/2015,Standard Class,JH-15985,OFF-BI-10001098,51.312,3,0.2,18.6006
468,US-2015-101399,1/17/2015,1/24/2015,Standard Class,JS-15940,FUR-FU-10002918,254.744,7,0.6,-312.0614
471,CA-2015-154144,12/20/2015,12/24/2015,Standard Class,MH-17785,OFF-PA-10004071,55.48,1,0,26.6304
472,CA-2014-144666,11/9/2014,11/11/2014,Second Class,JP-15520,OFF-ST-10002743,340.92,3,0,3.4092
473,CA-2014-144666,11/9/2014,11/11/2014,Second Class,JP-15520,FUR-BO-10001601,222.666,2,0.15,10.4784
474,CA-2014-144666,11/9/2014,11/11/2014,Second Class,JP-15520,TEC-PH-10002680,703.968,4,0.2,87.996
475,CA-2014-144666,11/9/2014,11/11/2014,Second Class,JP-15520,OFF-ST-10001321,92.52,6,0,24.9804
476,CA-2014-144666,11/9/2014,11/11/2014,Second Class,JP-15520,OFF-PA-10001509,62.65,7,0,28.819
477,CA-2014-144666,11/9/2014,11/11/2014,Second Class,JP-15520,OFF-PA-10003465,94.85,5,0,45.528
482,CA-2014-134677,10/6/2014,10/10/2014,Standard Class,XP-21865,TEC-AC-10001445,9.09,3,0,1.9089
483,CA-2014-127691,7/22/2014,7/27/2014,Standard Class,EM-14065,OFF-AR-10002053,5.96,2,0,1.6688
484,CA-2014-127691,7/22/2014,7/27/2014,Standard Class,EM-14065,TEC-AC-10002567,159.98,2,0,57.5928
488,CA-2014-154627,10/29/2014,10/31/2014,First Class,SA-20830,TEC-PH-10001363,2735.952,6,0.2,341.994
489,CA-2014-133753,6/9/2014,6/13/2014,Second Class,CW-11905,TEC-PH-10000376,7.992,1,0.2,0.5994
490,CA-2014-133753,6/9/2014,6/13/2014,Second Class,CW-11905,TEC-AC-10000303,63.984,2,0.2,10.3974
491,CA-2014-133753,6/9/2014,6/13/2014,Second Class,CW-11905,OFF-AR-10001953,70.368,2,0.2,6.1572
492,CA-2014-113362,9/14/2014,9/19/2014,Standard Class,AJ-10960,OFF-ST-10001809,449.15,5,0,8.983
493,CA-2014-113362,9/14/2014,9/19/2014,Standard Class,AJ-10960,OFF-EN-10003845,11.07,3,0,5.0922
496,CA-2015-134782,12/27/2015,12/31/2015,Standard Class,MD-17350,OFF-EN-10001434,105.42,2,0,51.6558
507,CA-2015-145352,3/16/2015,3/22/2015,Standard Class,CM-12385,OFF-AR-10001662,2.74,1,0,0.7398
508,CA-2015-145352,3/16/2015,3/22/2015,Standard Class,CM-12385,OFF-AR-10003856,8.34,3,0,2.1684
509,CA-2015-145352,3/16/2015,3/22/2015,Standard Class,CM-12385,OFF-ST-10001228,46.74,3,0,11.685
510,CA-2015-145352,3/16/2015,3/22/2015,Standard Class,CM-12385,OFF-BI-10003527,6354.95,5,0,3177.475
520,CA-2015-157812,3/22/2015,3/26/2015,Standard Class,DB-13210,TEC-AC-10000171,18.392,1,0.2,5.2877
521,CA-2015-157812,3/22/2015,3/26/2015,Standard Class,DB-13210,OFF-ST-10000736,129.568,2,0.2,-25.9136
522,CA-2015-157812,3/22/2015,3/26/2015,Standard Class,DB-13210,OFF-BI-10000285,14.112,9,0.8,-21.168
526,CA-2015-158792,12/26/2015,1/2/2016,Standard Class,BD-11605,OFF-FA-10002815,22.2,5,0,10.434
529,US-2015-138303,9/3/2015,9/7/2015,Standard Class,MG-18145,OFF-ST-10004963,36.336,3,0.2,-7.2672
530,US-2015-138303,9/3/2015,9/7/2015,Standard Class,MG-18145,OFF-SU-10002881,666.248,1,0.2,-149.9058
